"Abra				","ABR"     	
"Agusan del Norte   ","AGN"        
"Agusan del Sur     ","AGS"        
"Aklan              ","AKL"        
"Albay              ","ALB"        
"Antique            ","ANT"        
"Apayao             ","APA"        
"Aurora             ","AUR"        
"Basilan            ","BAS"        
"Bataan             ","BAN"        
"Batanes            ","BTN"        
"Batangas           ","BTG"        
"Benguet            ","BEN"        
"Biliran            ","BIL"        
"Bohol              ","BOH"        
"Bukidnon           ","BUK"        
"Bulacan            ","BUL"        
"Cagayan            ","CAG"        
"Camarines Norte    ","CAN"        
"Camarines Sur      ","CAS"        
"Camiguin           ","CAM"        
"Capiz              ","CAP"        
"Catanduanes        ","CAT"        
"Cavite             ","CAV"        
"Cebu               ","CEB"        
"Compostela Valley  ","COM"        
"Cotabato           ","NCO"        
"Davao del Norte    ","DAV"        
"Davao del Sur      ","AS,"        
"Davao Oriental     ","DAO"        
"Dinagat Islands    ","DIN"        
"Eastern Samar      ","EAS"        
"Guimaras           ","GUI"        
"Ifugao             ","IFU"        
"Ilocos Norte       ","ILN"        
"Ilocos Sur         ","ILS"        
"Iloilo             ","ILI"        
"Isabela            ","ISA"        
"Kalinga            ","KAL"        
"Laguna             ","LAG"        
"Lanao del Norte    ","LAN"        
"Lanao del Sur      ","LAS"        
"La Union           ","LUN"        
"Leyte              ","LEY"        
"Maguindanao        ","MAG"        
"Marinduque         ","MAD"        
"Masbate            ","MAS"        
"Metro Manila       ","MNL"        
"Misamis Occidental ","MSC"        
"Misamis Oriental   ","MSR"        
"Mountain           ","MOU"        
"Negros Occidental  ","NEC"        
"Negros Oriental    ","NER"        
"Northern Samar     ","NSA"        
"Nueva Ecija        ","NUE"        
"Nueva Vizcaya      ","NUV"        
"Occidental Mindoro ","MDC"        
"Oriental Mindoro   ","MDR"        
"Palawan            ","PLW"        
"Pampanga           ","PAM"        
"Pangasinan         ","PAN"        
"Quezon             ","QUE"        
"Quirino            ","QUI"        
"Rizal              ","RIZ"        
"Romblon            ","ROM"        
"Samar              ","WSA"        
"Sarangani          ","SAR"        
"Siquijor           ","SIG"        
"Sorsogon           ","SOR"        
"South Cotabato     ","SCO"        
"Southern Leyte     ","SLE"        
"Sultan Kudarat     ","SUK"        
"Sulu               ","SLU"        
"Surigao del Norte  ","SUN"        
"Surigao del Sur    ","SUR"        
"Tarlac             ","TAR"        
"Tawi-Tawi          ","TAW"        
"Zambales           ","ZMB"        
"Zamboanga del Norte","ZAN"        
"Zamboanga del Sur  ","ZAS"        
"Zamboanga-Sibugay  ","ZSI"        
